A-dawen 	<i>v</i>. to rise from sleep, also, to arouse, NED; <b>adawed</b>,<i>pp</i>. S3.--Cp. MHG. <i>er-tagen</i>, to dawn. (A-1.)
A-day 	<i>adv</i>. at morn, by day, S2, P; <b>adai</b>, S. (A-2.)
Addledd 	<i>pp</i>. earned, S; see <b>Adlen</b>. [Addition]
A-diliȝen 	,<i>v</i>. to be lost, to perish, S; <b>adiliȝede</b>, <i>pt. s</i>.,S; <b>adiligde</b>, S.--AS. <i>á-diligan</i>, to destroy. (<b>A-</b> I.)
A-diȝten 	<i>v</i>. to appoint, order, prepare, compose, clothe, treat,MD, S; <b>adyȝt</b>, <i>pp</i>., MD; <b>adight</b>, G; <b>adyght</b>, MD, HD. (<b>A-</b> 1.)
Adlen 	<i>v</i>. to earn, MD; <b>addle</b>, Manip., MED; <b>addledd</b>, <i>pp</i>.,S.--Icel. <i>öðla</i>, refl.  <i>öðla-sk</i>, to acquire for oneself property,from <i>óðal</i>, property, patrimony, from *<i>aþal</i>, race, see Fick, 7. 14;cp. OHG. <i>uodil</i>, 'praedium' (Tatian). See <b>Athel</b>.
Admirald 	<i>sb</i>. a Saracen commander, S; see <b>Amirail</b>.
Admod 	<i>adj</i>. humble, gentle, S; <b>ædmod</b>, MD; <b>edmod</b>,MD.--AS. <i>éadmód, éaðmód</i>. See <b>Eth</b>.
Admoded 	<i>pp</i>. as <i>adj</i>. lowly; see <b>Eadmodien</b>.
Admodie 	<i>adj. pl</i>. humble, MD; <b>edmodi</b>, MD.
Admodliche 	<i>adv</i>. humbly, gently, MD; <b>ædmodliȝ</b>,S.--AS. <i>éadmódlice</i>.
Admodnesse 	<i>sb</i>. humility, gentleness, MD, S; <b>edmodnesse</b>, S;<b>æddmodnesse</b>, S.--AS. <i>éadmódnes</i>.
A-do 	<i>sb</i>. fuss, trouble, difficulty, S3, Prompt., WW; = to do, PP,WW; <b>adoe</b>, ND, (<b>A-</b> 5.)
A-doun 	<i>adv</i>. down, S, S2, C2, C3, G; <b>adun</b>, S; <b>adune</b>,S.--AS. <i>of dúne</i>, off the hill. (<b>A-</b> 3.)
A-drad 	<i>pp</i>. frightened, put in dread, NED, S2, G, C, PP; <b>adred</b>,S; <b>adrede</b>, NED.--AS. <i>of-drad</i> (<b>A-</b> 3). Cf. <b>Of-dreden</b>.
A-drawen 	<i>v</i>. to draw out, S2; <b>adroh</b>, <i>pt. s</i>., NED; <b>adrou</b>,NED; <b>adraȝe</b>, <i>pp</i>.  NED. (<b>A-</b> 1.)
A-dreden 	<i>v</i>. to fear greatly, S, NED; <b>adrade</b>, <i>reflex</i>.,S.--OMerc. <i>and-drǽdan</i> (Rushw.); see NED. (<b>A-</b> 4.)
A-drenchen 	<i>v</i>. to drown, to be drowned, MD, S, PP; <b>adreynten</b>,<i>pt. pl</i>., PP; <b>a-*dreynt</b>, <i>pp</i>. drenched, PP; <b>adreint</b>, MD;<b>adrent</b>, S, PP; <b>adreynched</b>, PP.--AS. <i>á-drencan</i>. (<b>A-</b> I.)
Adressen 	<i>v</i>. to make straight, to direct, NED, H.--OF. <i>adressier,adrecier</i> Late Lat. <i>addrictiare</i>, from Lat. <i>directum</i>,straight. (<b>A-</b> 7.)
A-drinken 	<i>v</i>. to be drowned, MD, S; <b>adronc</b>, <i>pt. s</i>., MD;<b>adronken</b>, <i>pl</i>., MD; <b>adrunken</b>, <i>pp</i>., MD.--AS. <i>á-drincan</i>. (<b>A-</b>1.)
A-drye 	<i>v</i>. to endure, bear, HD; <b>adriȝen</b>, S (19. 1047),MD.--AS. <i>á-dréogan</i>. (<b>A-</b> I.)
A-dun 	<i>adv</i>. down, S; see <b>Adoun</b>.
A-dunien 	<i>v</i>. to din; <b>adunest</b>, 2 <i>pr. s</i>., <b>adenyd</b>,<i>pp</i>. MD. (<b>A-</b> I.)
Adun-ward 	<i>adv</i>. downward, NED; <b>adonward</b>, S2.
Adversarie 	<i>sb</i>. adversary, C3.--OF. <i>adversarie</i>;Lat. <i>aduersarius</i>.
Advertence 	<i>sb</i>. mental attention, C3--Late Lat. <i>advertentia</i>.
Advocat 	<i>sb</i>. advocate, intercessor, C3; <b>vokate</b>, PP; <b>vokyte</b>,<i>causidicus</i>, Voc.; <b>vokettus</b>, <i>pl</i>. PP.--OF. <i>advocat</i>;Lat. <i>aduocatum</i> (acc.).
Æ 	<i>sb</i>. law, MD.--AS. <i>*æw</i> (*æ), law, divine law, the Mosaic law,marriage; Goth, <i>aiws</i>, an age, eternity; cp. OHG. <i>éwa</i>, the law ofGod, eternity (Otfrid). Cf. <b>Æ-uez, Eu-bruche</b>, Eche.
Ædmod 	<i>adj</i>. humble, gentle, MD; see <b>Admod</b>.
Ædmodliȝ 	<i>adv</i>. humbly, S; see <b>Admodliche</b>.
Ædmodnisse 	<i>sb</i>. humility, MD; <b>æddmodnesse</b>, S; see <b>Admodnesse</b>.
Æhte 	<i>num</i>. eight, MD; see <b>Eighte</b>.
Æhtene 	<i>num</i>. eighteen, S; see <b>Eightene</b>.
Æn 	<i>num</i>. and <i>indef. art</i>. one, S; <b>ænne</b>, S; see<b>Oon</b>. [Addition]
Æness 	<i>adv</i>. once, S; see <b>Oones</b>. [Addition]
Æoure 	<i>pron</i>. your, S; see <b>ȝoure</b>.
Ærd 	<i>sb</i>. native land, home, S; see <b>Erd</b>.
Ærfeð-telle 	<i>adj</i>. difficult to count, S. See <b>Arfeð</b>.
Ærnde 	<i>sb</i>. errand, MD; see <b>Erende</b>.
Ærnd-race 	<i>sb</i>. messenger, S; <b>Ærndraches</b>, <i>pl</i>.,S.--AS. <i>*ærend-raca</i>.
Ærnen 	<i>v</i>. to run, S; see <b>Rennen</b>.
Æ-uez 	<i>adj</i>. pious, fast in the law, S.--AS.  <i>*æ-fest</i>. See Æ.
Afaiten 	<i>v</i>. to affect, to prepare, array, dress, to train, tame,subdue, NED, PP; <b>affaiten</b>,P; <b>fayten</b>, S2, PP; <b>faiten</b>,PP.--OF. <i>afaiter</i>, <i>afeiter</i>; Lat. <i>affectare</i>, freq. of <i>afficere</i>;<i>ad+facere</i>. (<b>A-</b>7.)
A-fallen 	<i>v</i>. to fall, MD; <b>auallen</b>, MD; <b>afeol</b>, <i>pt. s</i>., MD;<b>afallen</b>, <i>pp</i>., MD.--AS.  <i>á-feallan</i>. (<b>A-</b>1.)
A-fallen 	<i>v</i>. to fell, NED; <b>afal</b>, <i>imp</i>., S; <b>aual</b>, S.
A-felde 	<i>adv</i>. a-field, to the field, PP. (<b>A-</b> 2).
A-fellen 	<i>v</i>. to fell, NED; <b>auellen</b>, MD.--AS. <i>á-fellan</i>,<i>á-fyllan</i>. (<b>A-</b> 1.)
A-fer 	<i>adv</i>. afar, W, W2; <b>afeer</b>, NED; <b>of feor</b>, S(s.v. <i>feor</i>). (<b>A-</b> 3.) Cf. <b>A-ferre</b>.
Afere 	<i>sb</i>, affair, bustle, appearance, demeanour, S2, NED;<b>effere</b>, S2; <b>effeir</b>, S2, S3; <b>effer</b>, S2; <b>afferes</b>, <i>pl</i>.,PP.--OF. <i>afere=a+fere</i>; Lat. <i>facere</i>, to do. (<b>A-</b>7.)
A-feren 	<i>v</i>. to frighten, terrify, S, PP; <b>afferen</b>, MD; <b>affeare</b>,2 <i>pr. s. subj</i>., S; <b>afered</b>, <i>pp</i>. afraid, S, C, P; <b>aferd</b>, S, C,P, W2; <b>afeerd</b>, W; <b>afert</b>, PP; <b>aferde</b>, S3, P, W; <b>afferde</b>,S3.--AS. <i>á-fáran</i>. (<b>A-</b> 1)
A-ferre 	<i>adv</i>. afar, Prompt.; <b>oferrum</b>, S2; <b>onferrum</b>, S2;<b>onferre</b>, NED; <b>on-*ferr</b>, NED. (<b>A-</b> 2). Cf. <b>Afer</b>.
Aff 	-; see <b>Af-</b>.
Affamysit 	<i>pp</i>. famished, S3, NED.  Cp. OF. <i>afamer</i>; LateLat. <i>affamare</i>.
Affectuosly 	<i>adv</i>. passionately, HD, NED.
Affectuouse 	<i>adj</i>. hearty, affectionate, NED, H; <b>affectuse</b>,NED.--Lat. <i>affectuosus</i>.
Affray 	<i>sb</i>. terror, S3, C2, C3. Cf. <b>Effray</b>.
Affrayen 	<i>v</i>. to frighten, C2; <b>affrayed</b>, <i>pp</i>. S2, C, C3, W; see<b>Afrayen</b>.
Afile 	<i>v</i>. to file down, NED; <b>affyle</b>, C.--OF. <i>afiler</i>.
Afingret 	<i>pp</i>. an-hungered, NED, HD; see <b>Of-hungred</b>. [Addition]
A-flemen 	<i>v</i>. to drive away, MD; <b>aulem</b>, <i>imp, s</i>.,S.--AS. <i>á-fléman (á-flýman)</i>. (<b>A-</b>1.)
Afolen 	<i>v</i>. to befool; <b>afoled</b>, <i>pp</i>., S; <b>afoild</b>, NED,HD.--OF. <i>afoler</i> (Bartsch); Low Lat. *<i>adfolare</i>, to makefoolish. (<b>A-</b> 7.)
A-fon 	<i>v</i>. to receive, S; <b>afeoh</b>, <i>imp</i>., S; <b>avoþ</b>, <i>pr. pl</i>., S;<b>auenge</b>, <i>pt. pl</i>., S2.--AS. <i>á-fón, on-fón</i> (for <i>ond-fón</i>), seeSievers, 198, 5. 1. (<b>A-</b> 4.) Cf. <b>Onfon</b>.
Aforce 	<i>v</i>. to force, constrain, NED, H; <b>afforce</b>, H; <b>aforsed</b>,<i>pt. pl</i>., H.--OF. <i>aforcer, efforcer, esforcier</i>; LateLat. <i>exfortiare</i>, from Lat. <i>fortis</i>, strong. (<b>A-</b> 9.)
A-fore 	<i>adv. prep</i>., before, PP, WW; <b>affore</b>, PP; <b>afor</b>, PP;<b>affor</b>, PP; <b>aforn</b>, NED.--AS. <i>on-foran</i>. (<b>A-</b> 2.)
A-forthen 	<i>v</i>. to further, promote, to achieve, to manage to do, tomanage to give, to afford; P, NED, SkD, HD; <b>a-*forde</b>,NED.--AS. <i>ge+forðian</i>. (<b>A-</b> 6.)
A-fote 	<i>adv</i>. on foot, PP; <b>afoote</b>, S3, W; <b>auote</b>, S2. (<b>A-</b> 2.)
Afrayen 	<i>v</i>. to disturb from peace and quiet, to frighten, NED;<b>affraye</b>, C2 (E. 455); <b>afreyd</b>, <i>pp</i>. alarmed, afraid, NED;<b>affrayed</b>, W, S2, C, C3; <b>affrayd</b>, S3; <b>affrayt</b>, S3; <b>frayd</b>, S3,<b>fraid</b>, S3.--AF. <i>afrayer, effrayer</i>, OF. <i>esfreer</i>:Prov. <i>esfredar</i>; Low Lat. <i>ex-fridare</i>, from <i>fridum</i>;cp. OS. <i>friðu</i>, peace. (<b>A-</b> 9.) See <b>Affrayen</b>.
A-fright 	<i>pp</i>. terrified, C; <b>afriȝt</b>, NED, HD; <b>afryȝte</b>,HD.--AS. <i>á-fyrht, á-fyrhted</i>. (<b>A-</b>I.)
After 	<i>prep</i>, and <i>adv</i>. after, according to, S, HD,S2, C3;<b>efter</b>, S, S2; <b>eftir</b>, S3; <b>eafter</b>,MD; <b>aftir</b>, S2.--<i>Æf-ter</i> is acomp. form, see SkD.
After-clap 	<i>sb</i>. an evil consequence or result, HD;<b>after-clappys</b>, <i>pl</i>., MD.
After-del 	<i>sb</i>. disadvantage, MD; <b>after-dele</b>, HD.
A-fure 	<i>adv</i>. on fire, S2; <b>auere</b>, S2; <b>afiere</b>, W2. (<b>A-</b>2.)
Afyngred 	; see <b>Ahungerd</b>.
Afyrst 	<i>pp</i>. athirst, PP; <b>afurst</b>, PP; <b>afrust</b>, PP; see<b>Of-þurst</b>. [Addition]
A-gasten 	<i>v</i>. to terrify, MD, PP; <b>agesten</b>, S; <b>agaste</b>, <i>pt. s</i>.,C2, C; <b>agast</b>, <i>pp</i>., PP, S2, S3, C2, C3, G; <b>agazed</b>, S3; <b>agaste</b>,<i>pl</i>., S2, W.--AS. <i>á+gǽstan</i>, to frighten. (<b>A-</b>I.)
A-gen 	<i>prep</i>, and <i>adv</i>. towards, back, again, S; see <b>A-ȝein</b>.
Agenes 	<i>prep</i>, against, S; see <b>Aȝeines</b>.
Agenst 	<i>prep</i>, against, NED; see <b>A-ȝeinst</b>.
Agenst-Christ 	<i>sb</i>. Antichrist, S3.
A-gessen 	<i>v</i>. to reckon, calculate, S. (<b>A-</b>I.)
Aghe 	<i>sb</i>. awe, H; <b>agh</b>, NED; see <b>Awe</b>.
Aghe-ful 	<i>adj</i>. awful, H; <b>aghful</b>, H.
A-gon 	<i>v</i>. to obtain, PP.--AS. <i>of-gangan</i>, to require. (<b>A-</b>3.)
